============================================================
PPO Training Summary
============================================================

Training Time: 20251210_141255
Total Updates: 500
Total Samples: 7500

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 1: Return=-142.98, Acceptance=100.00%, Samples=15
Update 2: Return=-286.48, Acceptance=93.33%, Samples=15
Update 3: Return=-307.06, Acceptance=100.00%, Samples=15
Update 4: Return=-116.77, Acceptance=100.00%, Samples=15
Update 5: Return=-161.43, Acceptance=100.00%, Samples=15
Update 6: Return=-221.05, Acceptance=100.00%, Samples=15
Update 7: Return=-242.77, Acceptance=100.00%, Samples=15
Update 8: Return=-165.63, Acceptance=100.00%, Samples=15
Update 9: Return=-882.02, Acceptance=80.00%, Samples=15
Update 10: Return=-421.22, Acceptance=93.33%, Samples=15
Update 11: Return=-330.42, Acceptance=100.00%, Samples=15
Update 12: Return=-175.44, Acceptance=100.00%, Samples=15
Update 13: Return=-134.00, Acceptance=100.00%, Samples=15
Update 14: Return=-279.75, Acceptance=100.00%, Samples=15
Update 15: Return=-175.48, Acceptance=100.00%, Samples=15
Update 16: Return=-182.40, Acceptance=100.00%, Samples=15
Update 17: Return=-144.77, Acceptance=100.00%, Samples=15
Update 18: Return=-236.61, Acceptance=100.00%, Samples=15
Update 19: Return=-582.78, Acceptance=86.67%, Samples=15
Update 20: Return=-270.22, Acceptance=100.00%, Samples=15
Update 21: Return=-179.32, Acceptance=100.00%, Samples=15
Update 22: Return=-360.01, Acceptance=93.33%, Samples=15
Update 23: Return=-175.50, Acceptance=100.00%, Samples=15
Update 24: Return=-223.50, Acceptance=100.00%, Samples=15
Update 25: Return=-180.47, Acceptance=100.00%, Samples=15
Update 26: Return=-239.66, Acceptance=100.00%, Samples=15
Update 27: Return=-271.30, Acceptance=100.00%, Samples=15
Update 28: Return=-251.00, Acceptance=100.00%, Samples=15
Update 29: Return=-185.22, Acceptance=100.00%, Samples=15
Update 30: Return=-185.96, Acceptance=100.00%, Samples=15
Update 31: Return=-269.45, Acceptance=100.00%, Samples=15
Update 32: Return=-199.51, Acceptance=100.00%, Samples=15
Update 33: Return=-150.13, Acceptance=100.00%, Samples=15
Update 34: Return=-153.50, Acceptance=100.00%, Samples=15
Update 35: Return=-405.99, Acceptance=93.33%, Samples=15
Update 36: Return=-153.23, Acceptance=100.00%, Samples=15
Update 37: Return=-399.18, Acceptance=93.33%, Samples=15
Update 38: Return=-218.50, Acceptance=100.00%, Samples=15
Update 39: Return=-184.33, Acceptance=100.00%, Samples=15
Update 40: Return=-240.19, Acceptance=100.00%, Samples=15
Update 41: Return=-204.42, Acceptance=100.00%, Samples=15
Update 42: Return=-231.33, Acceptance=100.00%, Samples=15
Update 43: Return=-275.37, Acceptance=100.00%, Samples=15
Update 44: Return=-237.57, Acceptance=100.00%, Samples=15
Update 45: Return=-614.49, Acceptance=86.67%, Samples=15
Update 46: Return=-177.32, Acceptance=100.00%, Samples=15
Update 47: Return=-192.55, Acceptance=100.00%, Samples=15
Update 48: Return=-211.63, Acceptance=100.00%, Samples=15
Update 49: Return=-540.05, Acceptance=86.67%, Samples=15
Update 50: Return=-223.81, Acceptance=100.00%, Samples=15
Update 51: Return=-178.49, Acceptance=100.00%, Samples=15
Update 52: Return=-355.36, Acceptance=93.33%, Samples=15
Update 53: Return=-407.41, Acceptance=93.33%, Samples=15
Update 54: Return=-257.73, Acceptance=100.00%, Samples=15
Update 55: Return=-351.88, Acceptance=93.33%, Samples=15
Update 56: Return=-193.63, Acceptance=100.00%, Samples=15
Update 57: Return=-308.34, Acceptance=100.00%, Samples=15
Update 58: Return=-459.55, Acceptance=93.33%, Samples=15
Update 59: Return=-204.50, Acceptance=100.00%, Samples=15
Update 60: Return=-316.96, Acceptance=100.00%, Samples=15
Update 61: Return=-295.56, Acceptance=100.00%, Samples=15
Update 62: Return=-322.83, Acceptance=93.33%, Samples=15
Update 63: Return=-247.77, Acceptance=100.00%, Samples=15
Update 64: Return=-237.07, Acceptance=100.00%, Samples=15
Update 65: Return=-242.13, Acceptance=100.00%, Samples=15
Update 66: Return=-474.44, Acceptance=93.33%, Samples=15
Update 67: Return=-218.23, Acceptance=100.00%, Samples=15
Update 68: Return=-546.42, Acceptance=86.67%, Samples=15
Update 69: Return=-172.48, Acceptance=100.00%, Samples=15
Update 70: Return=-299.60, Acceptance=100.00%, Samples=15
Update 71: Return=-486.03, Acceptance=93.33%, Samples=15
Update 72: Return=-326.13, Acceptance=100.00%, Samples=15
Update 73: Return=-168.10, Acceptance=100.00%, Samples=15
Update 74: Return=-212.75, Acceptance=100.00%, Samples=15
Update 75: Return=-237.46, Acceptance=100.00%, Samples=15
Update 76: Return=-697.30, Acceptance=86.67%, Samples=15
Update 77: Return=-544.96, Acceptance=93.33%, Samples=15
Update 78: Return=-367.63, Acceptance=100.00%, Samples=15
Update 79: Return=-360.77, Acceptance=100.00%, Samples=15
Update 80: Return=-291.83, Acceptance=93.33%, Samples=15
Update 81: Return=-214.25, Acceptance=100.00%, Samples=15
Update 82: Return=-264.48, Acceptance=100.00%, Samples=15
Update 83: Return=-205.92, Acceptance=100.00%, Samples=15
Update 84: Return=-260.29, Acceptance=100.00%, Samples=15
