============================================================
PPO Training Summary
============================================================

Training Time: 20251217_105532
Total Updates: 77
Total Samples: 2310

------------------------------------------------------------
Training Progress:
------------------------------------------------------------
Update 1: Return=-1550.93, Acceptance=96.67%, Samples=30
Update 2: Return=-1332.41, Acceptance=93.33%, Samples=30
Update 3: Return=-1471.98, Acceptance=93.33%, Samples=30
Update 4: Return=-1757.71, Acceptance=93.33%, Samples=30
Update 5: Return=-2228.74, Acceptance=96.67%, Samples=30
Update 6: Return=-1708.21, Acceptance=96.67%, Samples=30
Update 7: Return=-1253.93, Acceptance=96.67%, Samples=30
Update 8: Return=-2010.24, Acceptance=96.67%, Samples=30
Update 9: Return=-1421.50, Acceptance=96.67%, Samples=30
Update 10: Return=-1679.41, Acceptance=96.67%, Samples=30
Update 11: Return=-2523.86, Acceptance=96.67%, Samples=30
Update 12: Return=-1308.62, Acceptance=96.67%, Samples=30
Update 13: Return=-2027.49, Acceptance=93.33%, Samples=30
Update 14: Return=-1688.07, Acceptance=96.67%, Samples=30
Update 15: Return=-909.40, Acceptance=96.67%, Samples=30
Update 16: Return=-2589.28, Acceptance=96.67%, Samples=30
Update 17: Return=-2538.43, Acceptance=93.33%, Samples=30
Update 18: Return=-1433.75, Acceptance=93.33%, Samples=30
Update 19: Return=-1901.88, Acceptance=96.67%, Samples=30
Update 20: Return=-1605.42, Acceptance=93.33%, Samples=30
Update 21: Return=-1263.24, Acceptance=96.67%, Samples=30
Update 22: Return=-1478.90, Acceptance=96.67%, Samples=30
Update 23: Return=-2034.28, Acceptance=96.67%, Samples=30
Update 24: Return=-2984.78, Acceptance=93.33%, Samples=30
Update 25: Return=-1031.18, Acceptance=93.33%, Samples=30
Update 26: Return=-2392.15, Acceptance=93.33%, Samples=30
Update 27: Return=-2537.77, Acceptance=93.33%, Samples=30
Update 28: Return=-1352.96, Acceptance=93.33%, Samples=30
Update 29: Return=-2037.14, Acceptance=93.33%, Samples=30
Update 30: Return=-1341.69, Acceptance=93.33%, Samples=30
Update 31: Return=-1937.71, Acceptance=93.33%, Samples=30
Update 32: Return=-2203.28, Acceptance=93.33%, Samples=30
Update 33: Return=-1845.35, Acceptance=93.33%, Samples=30
Update 34: Return=-1144.21, Acceptance=96.67%, Samples=30
Update 35: Return=-2193.15, Acceptance=93.33%, Samples=30
Update 36: Return=-1424.86, Acceptance=93.33%, Samples=30
Update 37: Return=-2793.90, Acceptance=93.33%, Samples=30
Update 38: Return=-1405.59, Acceptance=96.67%, Samples=30
Update 39: Return=-2165.65, Acceptance=93.33%, Samples=30
Update 40: Return=-2217.09, Acceptance=93.33%, Samples=30
Update 41: Return=-1620.00, Acceptance=96.67%, Samples=30
Update 42: Return=-1696.05, Acceptance=93.33%, Samples=30
Update 43: Return=-1560.43, Acceptance=96.67%, Samples=30
Update 44: Return=-1345.59, Acceptance=96.67%, Samples=30
Update 45: Return=-1458.66, Acceptance=93.33%, Samples=30
Update 46: Return=-1590.65, Acceptance=93.33%, Samples=30
Update 47: Return=-1372.66, Acceptance=93.33%, Samples=30
Update 48: Return=-1166.38, Acceptance=96.67%, Samples=30
Update 49: Return=-1720.07, Acceptance=96.67%, Samples=30
Update 50: Return=-1730.59, Acceptance=96.67%, Samples=30
Update 51: Return=-1273.50, Acceptance=96.67%, Samples=30
Update 52: Return=-1444.47, Acceptance=93.33%, Samples=30
Update 53: Return=-2408.73, Acceptance=93.33%, Samples=30
Update 54: Return=-1609.52, Acceptance=93.33%, Samples=30
Update 55: Return=-1681.33, Acceptance=96.67%, Samples=30
Update 56: Return=-2965.97, Acceptance=93.33%, Samples=30
Update 57: Return=-2625.20, Acceptance=93.33%, Samples=30
Update 58: Return=-1976.14, Acceptance=96.67%, Samples=30
Update 59: Return=-1739.09, Acceptance=96.67%, Samples=30
Update 60: Return=-1679.29, Acceptance=93.33%, Samples=30
Update 61: Return=-2228.53, Acceptance=93.33%, Samples=30
Update 62: Return=-1641.55, Acceptance=96.67%, Samples=30
Update 63: Return=-2218.78, Acceptance=93.33%, Samples=30
Update 64: Return=-2240.12, Acceptance=93.33%, Samples=30
Update 65: Return=-1233.53, Acceptance=96.67%, Samples=30
Update 66: Return=-2304.27, Acceptance=93.33%, Samples=30
Update 67: Return=-2656.97, Acceptance=93.33%, Samples=30
Update 68: Return=-1695.31, Acceptance=96.67%, Samples=30
Update 69: Return=-1305.21, Acceptance=93.33%, Samples=30
Update 70: Return=-1695.50, Acceptance=96.67%, Samples=30
Update 71: Return=-1352.12, Acceptance=96.67%, Samples=30
Update 72: Return=-2143.40, Acceptance=93.33%, Samples=30
Update 73: Return=-1755.34, Acceptance=93.33%, Samples=30
Update 74: Return=-1383.49, Acceptance=93.33%, Samples=30
Update 75: Return=-1403.28, Acceptance=96.67%, Samples=30
Update 76: Return=-1409.90, Acceptance=96.67%, Samples=30
Update 77: Return=-1663.32, Acceptance=93.33%, Samples=30

------------------------------------------------------------
Final Results:
------------------------------------------------------------
Final Average Return: -1663.32
Final Acceptance Rate: 93.33%
Best Return: -909.40
Best Acceptance Rate: 96.67%
